id,source,contact_name,original_id,site_name,stream_name,latitude,longitude,datum,district,description_1,description_2,lower_boundary,upper_boundary
539,Hitt,Rabern,DACR,NA,Davis Creek,34.649376,-84.181679,NAD83,NA,NA,NA,NA,NA
562,Hitt,Rabern,FRCR,NA,Frick Creek,34.657803,-84.159721,NAD83,NA,NA,NA,NA,NA
505,Hitt,Rabern,BCCR,NA,Board Camp Creek,34.766422,-83.984062,NAD83,NA,NA,NA,NA,NA
598,Hitt,Rabern,LOCR,NA,Logan Creek,34.768974,-83.990524,NAD83,NA,NA,NA,NA,NA
630,Hitt,Rabern,PRBR,NA,Pretty Branch,34.770477,-84.042717,NAD83,NA,NA,NA,NA,NA
526,Hitt,Rabern,BUCR,NA,Burnett Creek,34.776093,-84.00557,NAD83,NA,NA,NA,NA,NA
576,Hitt,Rabern,HSCR,NA,High Shoals Creek,34.795387,-83.708153,NAD83,NA,NA,NA,NA,NA
533,Hitt,Rabern,CHRI,NA,Chattahoochee River,34.801998,-83.78714,NAD83,NA,NA,NA,NA,NA
519,Hitt,Rabern,BNCR,NA,Big Net Creek,34.827755,-83.68306,NAD83,NA,NA,NA,NA,NA
567,Hitt,Rabern,GUBR,NA,Gurley Branch,34.837303,-83.784538,NAD83,NA,NA,NA,NA,NA
609,Hitt,Rabern,MABR,NA,Mandy Branch,34.858725,-83.636272,NAD83,NA,NA,NA,NA,NA
678,Hitt,Rabern,WOBR,NA,Woods Branch,34.862796,-83.640389,NAD83,NA,NA,NA,NA,NA
618,Hitt,Rabern,NMCR,NA,North Moccasin Creek,34.879902,-83.637985,NAD83,NA,NA,NA,NA,NA
629,Hitt,Rabern,POCR,NA,Popcorn Creek,34.900913,-83.578079,NAD83,NA,NA,NA,NA,NA
634,Hitt,Rabern,RACR,NA,Ramey Creek,34.946041,-83.325287,NAD83,NA,NA,NA,NA,NA
537,Hitt,Rankin,CRCR,NA,Crane Creek,34.946049,-83.09362,NAD83,NA,NA,NA,NA,NA
586,Hitt,Rabern,KECR,NA,Keener Creek,34.947712,-83.454346,NAD83,NA,NA,NA,NA,NA
559,Hitt,Rabern,FLBR,NA,Flat Branch,34.953097,-83.538941,NAD83,NA,NA,NA,NA,NA
670,Hitt,Rabern,TPCR,NA,Totterypole Creek,34.95382,-83.22235,NAD83,NA,NA,NA,NA,NA
624,Hitt,Rabern,PECR,NA,Persimmon Creek,34.960503,-83.488167,NAD83,NA,NA,NA,NA,NA
587,Hitt,Rankin,KILO,NA,King Creek,34.964161,-83.102821,NAD83,NA,NA,NA,NA,NA
588,Hitt,Rankin,KIMI,NA,King Creek,34.96521,-83.091789,NAD83,NA,NA,NA,NA,NA
589,Hitt,Rankin,KIUP,NA,King Creek,34.96785,-83.084923,NAD83,NA,NA,NA,NA,NA
503,Hitt,Rabern,BACR,NA,Bailey Creek,34.967964,-83.264725,NAD83,NA,NA,NA,NA,NA
575,Hitt,Rabern,HOCR,NA,Holcomb Creek,34.982853,-83.285233,NAD83,NA,NA,NA,NA,NA
502,Hitt,Rabern,AMCR,NA,Ammons Creek,34.98946,-83.273041,NAD83,NA,NA,NA,NA,NA
671,Hitt,Grossman,UBC,NA,Upper Ball Creek,35.0452,-83.4471,NAD83,NA,NA,NA,NA,NA
568,Hitt,Kulp,HAZ-1N,NA,Hazel Creek,35.522007,-83.631386,NAD83,NA,NA,NA,NA,NA
673,Hitt,Kulp,WAL-1N,NA,Walkers Creek,35.52623,-83.633865,NAD83,NA,NA,NA,NA,NA
570,Hitt,Kulp,HAZ-2N,NA,Hazel Creek,35.529134,-83.619586,NAD83,NA,NA,NA,NA,NA
540,Hitt,Kulp,DEF-1,NA,Defeat Creek,35.538275,-83.671691,NAD83,NA,NA,NA,NA,NA
572,Hitt,Kulp,HAZ-3N,NA,Hazel Creek,35.540798,-83.592133,NAD83,NA,NA,NA,NA,NA
672,Hitt,Kulp,WAL-1,NA,Walkers Creek,35.54122,-83.643171,NAD83,NA,NA,NA,NA,NA
674,Hitt,Kulp,WAL-2,NA,Walkers Creek,35.542096,-83.642693,NAD83,NA,NA,NA,NA,NA
541,Hitt,Kulp,DES-1,NA,Desolation Creek,35.542648,-83.675674,NAD83,NA,NA,NA,NA,NA
569,Hitt,Kulp,HAZ-2,NA,Hazel Creek,35.544849,-83.58313,NAD83,NA,NA,NA,NA,NA
571,Hitt,Kulp,HAZ-3,NA,Hazel Creek,35.545208,-83.582954,NAD83,NA,NA,NA,NA,NA
560,Hitt,Kulp,FLT-1,NA,Flat Creek,35.551708,-83.173767,NAD83,NA,NA,NA,NA,NA
527,Hitt,Kulp,BUN-1,NA,Bunches Creek,35.552872,-83.167099,NAD83,NA,NA,NA,NA,NA
528,Hitt,Kulp,BUN-2,NA,Bunches Creek,35.558216,-83.169373,NAD83,NA,NA,NA,NA,NA
529,Hitt,Kulp,BUN-3,NA,Bunches Creek,35.561409,-83.168358,NAD83,NA,NA,NA,NA,NA
654,Hitt,Kulp,SAM-8,NA,Sams Creek,35.573842,-83.651304,NAD83,NA,NA,NA,NA,NA
653,Hitt,Kulp,SAM-7,NA,Sams Creek,35.574901,-83.65274,NAD83,NA,NA,NA,NA,NA
652,Hitt,Kulp,SAM-6,NA,Sams Creek,35.578938,-83.654305,NAD83,NA,NA,NA,NA,NA
664,Hitt,Kulp,STK-1,NA,Starkey Creek,35.582123,-83.658608,NAD83,NA,NA,NA,NA,NA
583,Hitt,Kulp,KAN-1,NA,Kanati Fork,35.585575,-83.364693,NAD83,NA,NA,NA,NA,NA
658,Hitt,Kulp,SIL-10,NA,Silers Creek,35.585651,-83.564804,NAD83,NA,NA,NA,NA,NA
660,Hitt,Kulp,SIL-9,NA,Silers Creek,35.586334,-83.565048,NAD83,NA,NA,NA,NA,NA
544,Hitt,Kulp,DPC-1,NA,Deep Creek,35.589264,-83.429493,NAD83,NA,NA,NA,NA,NA
659,Hitt,Kulp,SIL-4,NA,Silers Creek,35.591694,-83.566635,NAD83,NA,NA,NA,NA,NA
510,Hitt,Kulp,BEF-1,NA,Beech Flats Prong,35.591858,-83.375755,NAD83,NA,NA,NA,NA,NA
556,Hitt,Kulp,FCP-4,NA,Fish Camp Prong,35.592033,-83.574341,NAD83,NA,NA,NA,NA,NA
545,Hitt,Kulp,DPC-2,NA,Deep Creek,35.593945,-83.432335,NAD83,NA,NA,NA,NA,NA
657,Hitt,Kulp,SIL-1,NA,Silers Creek,35.59433,-83.567497,NAD83,NA,NA,NA,NA,NA
546,Hitt,Kulp,DPC-3,NA,Deep Creek,35.594856,-83.432884,NAD83,NA,NA,NA,NA,NA
554,Hitt,Kulp,FCP-2,NA,Fish Camp Prong,35.597338,-83.568604,NAD83,NA,NA,NA,NA,NA
553,Hitt,Kulp,FCP-1,NA,Fish Camp Prong,35.597781,-83.56853,NAD83,NA,NA,NA,NA,NA
