featureid,species,catch,year_min,year_max
20625575,BKT,0,NA,NA
20625640,BKT,0,NA,NA
20625683,BKT,0,NA,NA
20626130,BKT,0,NA,NA
20626158,BKT,0,NA,NA
20626179,BKT,0,NA,NA
20626219,BKT,0,NA,NA
20626320,BKT,0,NA,NA
20626437,BKT,0,NA,NA
20626449,BKT,0,NA,NA
20626633,BKT,0,NA,NA
20626750,BKT,0,NA,NA
20626810,BKT,0,NA,NA
20626914,BKT,0,NA,NA
20626936,BKT,0,NA,NA
20626943,BKT,0,NA,NA
20627003,BKT,0,NA,NA
20627101,BKT,0,NA,NA
20627200,BKT,0,NA,NA
20627281,BKT,0,NA,NA
20627772,BKT,0,NA,NA
20628146,BKT,2,2010,2010
20628353,BKT,0,NA,NA
20628538,BKT,0,NA,NA
20628547,BKT,0,NA,NA
20628568,BKT,0,NA,NA
20628756,BKT,0,NA,NA
20629010,BKT,0,NA,NA
20629274,BKT,0,NA,NA
20629334,BKT,0,NA,NA
20629368,BKT,1,2008,2008
20629673,BKT,0,NA,NA
20629832,BKT,0,NA,NA
20629940,BKT,0,NA,NA
20630266,BKT,0,NA,NA
20630366,BKT,0,NA,NA
20630464,BKT,0,NA,NA
20630528,BKT,0,NA,NA
20630897,BKT,0,NA,NA
20631183,BKT,0,NA,NA
20631344,BKT,0,NA,NA
20631418,BKT,0,NA,NA
20631867,BKT,0,NA,NA
20632368,BKT,0,NA,NA
201471280,BKT,0,NA,NA
201471554,BKT,0,NA,NA
201472169,BKT,0,NA,NA
201472668,BKT,0,NA,NA
201472673,BKT,2,2006,2006
201472896,BKT,0,NA,NA
201472949,BKT,0,NA,NA
201473056,BKT,0,NA,NA
201473099,BKT,0,NA,NA
201473129,BKT,0,NA,NA
201473203,BKT,0,NA,NA
201473214,BKT,0,NA,NA
201473319,BKT,0,NA,NA
201473387,BKT,0,NA,NA
201473507,BKT,0,NA,NA
201473621,BKT,0,NA,NA
201473678,BKT,0,NA,NA
201473863,BKT,0,NA,NA
201473935,BKT,5,2000,2000
201473951,BKT,0,NA,NA
201473952,BKT,0,NA,NA
201474041,BKT,0,NA,NA
201474071,BKT,0,NA,NA
201474159,BKT,0,NA,NA
201474202,BKT,0,NA,NA
201474212,BKT,0,NA,NA
201474268,BKT,0,NA,NA
201474366,BKT,0,NA,NA
201474396,BKT,0,NA,NA
201474456,BKT,0,NA,NA
201474486,BKT,0,NA,NA
201474509,BKT,0,NA,NA
201474535,BKT,0,NA,NA
201474536,BKT,0,NA,NA
201474597,BKT,0,NA,NA
201474750,BKT,0,NA,NA
201474822,BKT,0,NA,NA
201474825,BKT,0,NA,NA
201474883,BKT,0,NA,NA
201475091,BKT,0,NA,NA
201475093,BKT,0,NA,NA
201475106,BKT,0,NA,NA
201475126,BKT,0,NA,NA
201475239,BKT,0,NA,NA
201475248,BKT,0,NA,NA
201475407,BKT,0,NA,NA
201475416,BKT,0,NA,NA
201475421,BKT,0,NA,NA
201475448,BKT,0,NA,NA
201475471,BKT,0,NA,NA
201475484,BKT,0,NA,NA
201475485,BKT,0,NA,NA
201475527,BKT,53,2007,2007
201475551,BKT,0,NA,NA
201475555,BKT,0,NA,NA
201475608,BKT,72,2000,2000
201475645,BKT,2,2000,2000
201475646,BKT,7,2000,2000
201475686,BKT,0,NA,NA
201475706,BKT,0,NA,NA
201475733,BKT,2,2003,2003
201475734,BKT,0,NA,NA
201475792,BKT,0,NA,NA
201475837,BKT,2,2000,2000
201475902,BKT,18,2000,2000
201475924,BKT,0,NA,NA
201475933,BKT,2,1998,1998
201475937,BKT,0,NA,NA
201475997,BKT,23,2000,2000
201475998,BKT,0,NA,NA
201476062,BKT,0,NA,NA
201476076,BKT,2,2000,2000
201476116,BKT,0,NA,NA
201476159,BKT,0,NA,NA
201476181,BKT,0,NA,NA
201476268,BKT,0,NA,NA
201476269,BKT,0,NA,NA
201476290,BKT,0,NA,NA
201476339,BKT,0,NA,NA
201476377,BKT,0,NA,NA
201476399,BKT,0,NA,NA
201476487,BKT,0,NA,NA
201476503,BKT,5,2006,2006
201476508,BKT,0,NA,NA
201476512,BKT,0,NA,NA
201476532,BKT,0,NA,NA
201476552,BKT,0,NA,NA
201476554,BKT,0,NA,NA
201476632,BKT,0,NA,NA
201476659,BKT,1,2006,2006
201476666,BKT,0,NA,NA
201476675,BKT,0,NA,NA
201476703,BKT,0,NA,NA
201476771,BKT,0,NA,NA
201476785,BKT,0,NA,NA
201476795,BKT,0,NA,NA
201476798,BKT,0,NA,NA
201476814,BKT,21,2005,2005
201476825,BKT,0,NA,NA
201476836,BKT,1,2002,2002
201476845,BKT,0,NA,NA
201476887,BKT,4,2002,2002
201476898,BKT,0,NA,NA
201476907,BKT,0,NA,NA
201476908,BKT,0,NA,NA
201476945,BKT,10,2006,2006
201476960,BKT,0,NA,NA
201476971,BKT,0,NA,NA
201476977,BKT,14,2007,2007
201476988,BKT,13,2002,2002
201476989,BKT,4,2002,2002
201477035,BKT,0,NA,NA
201477047,BKT,0,NA,NA
201477058,BKT,38,2004,2005
201477063,BKT,6,2000,2000
201477075,BKT,0,NA,NA
201477133,BKT,0,NA,NA
201477141,BKT,0,NA,NA
201477153,BKT,0,NA,NA
201477162,BKT,0,NA,NA
201477164,BKT,20,2004,2004
201477181,BKT,1,2004,2004
201477195,BKT,0,NA,NA
201477198,BKT,0,NA,NA
201477202,BKT,45,2005,2005
201477214,BKT,24,2005,2005
201477242,BKT,0,NA,NA
201477280,BKT,0,NA,NA
201477298,BKT,0,NA,NA
201477308,BKT,0,NA,NA
201477330,BKT,0,NA,NA
201477341,BKT,0,NA,NA
201477357,BKT,3,2000,2000
201477368,BKT,0,NA,NA
201477414,BKT,0,NA,NA
201477429,BKT,0,NA,NA
201477452,BKT,11,2007,2007
201477482,BKT,31,2002,2002
201477484,BKT,2,2007,2007
201477485,BKT,0,NA,NA
201477501,BKT,9,2002,2002
201477514,BKT,2,2007,2007
201477521,BKT,0,NA,NA
201477523,BKT,0,NA,NA
201477524,BKT,0,NA,NA
201477537,BKT,1,2004,2004
201477551,BKT,14,2000,2000
201477575,BKT,69,2005,2005
201477584,BKT,132,2006,2006
201477593,BKT,7,2006,2006
201477605,BKT,0,NA,NA
201477629,BKT,9,2000,2000
201477643,BKT,0,NA,NA
201477644,BKT,0,NA,NA
201477672,BKT,27,2002,2002
201477679,BKT,0,NA,NA
201477701,BKT,0,NA,NA
201477706,BKT,1,2000,2000
201477711,BKT,0,NA,NA
201477727,BKT,9,2005,2005
201477743,BKT,6,2004,2004
201477756,BKT,3,2007,2007
201477758,BKT,0,NA,NA
201477766,BKT,0,NA,NA
201477782,BKT,71,2004,2004
201477792,BKT,0,NA,NA
201477800,BKT,0,NA,NA
201477809,BKT,13,2004,2004
201477823,BKT,1,2000,2000
201477827,BKT,0,NA,NA
201477849,BKT,67,2000,2000
201477902,BKT,49,2007,2007
201477916,BKT,0,NA,NA
201477927,BKT,1,2000,2000
201477960,BKT,141,2002,2002
201478017,BKT,26,2006,2006
201478019,BKT,0,NA,NA
201478031,BKT,68,2002,2002
201478033,BKT,0,NA,NA
201478036,BKT,0,NA,NA
201478047,BKT,3,2001,2001
201478058,BKT,15,2006,2006
201478116,BKT,44,2007,2007
201478127,BKT,0,NA,NA
201478258,BKT,11,2006,2006
201478272,BKT,0,NA,NA
201478303,BKT,0,NA,NA
201478323,BKT,11,2006,2006
201478329,BKT,6,2000,2000
201478357,BKT,176,2002,2002
201478367,BKT,30,2007,2007
201478373,BKT,0,NA,NA
201478376,BKT,0,NA,NA
201478407,BKT,27,2007,2007
201478437,BKT,38,2007,2007
201478438,BKT,16,2006,2006
201478447,BKT,5,2006,2006
201478469,BKT,0,NA,NA
201478476,BKT,64,2006,2006
201478504,BKT,0,NA,NA
201478508,BKT,0,NA,NA
201478522,BKT,0,NA,NA
201478528,BKT,0,NA,NA
201478551,BKT,37,2007,2007
201478564,BKT,8,2001,2001
201478576,BKT,0,NA,NA
201478580,BKT,0,NA,NA
201478582,BKT,0,NA,NA
201478590,BKT,36,2007,2007
201478600,BKT,0,NA,NA
201478606,BKT,0,NA,NA
201478655,BKT,10,2000,2000
201478680,BKT,56,2002,2002
201478696,BKT,7,2001,2001
201478714,BKT,0,NA,NA
201478733,BKT,57,2000,2000
201478775,BKT,2,2004,2004
201478798,BKT,0,NA,NA
201478831,BKT,2,2006,2006
201478833,BKT,65,2004,2004
201478851,BKT,0,NA,NA
201478884,BKT,3,2001,2001
201478889,BKT,49,2006,2006
201478890,BKT,1,2006,2006
201478902,BKT,1,2003,2003
201478903,BKT,3,2003,2003
201478909,BKT,2,2005,2007
201478925,BKT,6,2005,2005
201478926,BKT,0,NA,NA
201478959,BKT,5,2004,2004
201478979,BKT,25,2006,2006
201479030,BKT,19,2007,2007
201479036,BKT,1,2003,2003
201479092,BKT,0,NA,NA
201479098,BKT,8,2005,2006
201479109,BKT,0,NA,NA
201479115,BKT,0,NA,NA
201479121,BKT,2,2006,2006
201479133,BKT,4,2007,2007
201479146,BKT,0,NA,NA
201479147,BKT,25,2006,2006
201479183,BKT,5,2007,2007
201479185,BKT,112,2006,2006
201479254,BKT,0,NA,NA
201479262,BKT,0,NA,NA
201479307,BKT,39,2001,2001
201479308,BKT,54,2006,2006
201479334,BKT,33,2006,2006
201479370,BKT,0,NA,NA
201479375,BKT,3,2003,2003
201479383,BKT,3,2003,2003
201479402,BKT,2,2003,2003
201479411,BKT,0,NA,NA
201479416,BKT,30,2005,2005
201479451,BKT,59,2001,2001
201479458,BKT,3,2003,2003
201479475,BKT,0,NA,NA
201479506,BKT,17,2006,2006
201479515,BKT,0,NA,NA
201479585,BKT,0,NA,NA
201479632,BKT,0,NA,NA
201479654,BKT,77,2001,2007
201479658,BKT,0,NA,NA
201479667,BKT,0,NA,NA
201479703,BKT,6,2005,2005
201479716,BKT,4,2004,2004
201479717,BKT,0,NA,NA
201479761,BKT,0,NA,NA
201479785,BKT,45,2003,2003
201479813,BKT,0,NA,NA
201479830,BKT,0,NA,NA
201479833,BKT,28,2004,2005
201479846,BKT,0,NA,NA
201479874,BKT,0,NA,NA
201479880,BKT,0,NA,NA
201479944,BKT,0,NA,NA
201479950,BKT,0,NA,NA
201479966,BKT,0,NA,NA
201480012,BKT,0,NA,NA
201480035,BKT,0,NA,NA
201480042,BKT,0,NA,NA
201480100,BKT,47,2006,2006
201480103,BKT,1,2001,2001
201480127,BKT,1,2000,2000
201480131,BKT,0,NA,NA
201480188,BKT,13,2007,2007
201480198,BKT,47,2005,2005
201480215,BKT,0,NA,NA
201480231,BKT,14,2006,2006
201480232,BKT,63,2000,2000
201480271,BKT,0,NA,NA
201480300,BKT,13,2007,2007
201480309,BKT,0,NA,NA
201480317,BKT,7,2006,2006
201480324,BKT,8,2004,2004
201480335,BKT,0,NA,NA
201480375,BKT,0,NA,NA
201480391,BKT,31,2003,2003
201480397,BKT,0,NA,NA
201480405,BKT,0,NA,NA
201480413,BKT,0,NA,NA
201480458,BKT,0,NA,NA
201480462,BKT,5,2007,2007
201480502,BKT,0,NA,NA
201480520,BKT,1,2007,2007
201480530,BKT,0,NA,NA
201480546,BKT,0,NA,NA
201480597,BKT,0,NA,NA
201480598,BKT,0,NA,NA
201480601,BKT,0,NA,NA
201480604,BKT,0,NA,NA
201480638,BKT,2,2005,2005
201480642,BKT,4,2000,2000
201480699,BKT,0,NA,NA
201480715,BKT,0,NA,NA
201480726,BKT,0,NA,NA
201480769,BKT,35,2005,2005
201480793,BKT,2,2005,2005
201480812,BKT,0,NA,NA
201480843,BKT,9,2004,2004
201480848,BKT,13,2007,2007
201480856,BKT,12,2002,2002
201480862,BKT,5,2006,2006
201480885,BKT,1,2004,2004
201480908,BKT,2,2006,2006
201480967,BKT,0,NA,NA
201480972,BKT,1,2003,2003
201480973,BKT,0,NA,NA
201480980,BKT,32,2001,2005
201480981,BKT,5,2006,2006
201480983,BKT,59,2007,2007
201481006,BKT,0,NA,NA
201481088,BKT,28,2002,2002
201481130,BKT,5,2006,2006
201481133,BKT,0,NA,NA
201481148,BKT,0,NA,NA
201481192,BKT,0,NA,NA
201481211,BKT,1,1998,1998
201481232,BKT,1,2006,2006
201481279,BKT,3,2002,2002
201481284,BKT,128,2002,2005
201481292,BKT,60,2005,2005
201481315,BKT,74,2002,2002
201481325,BKT,16,2005,2005
201481356,BKT,88,2006,2006
201481359,BKT,0,NA,NA
201481409,BKT,8,2005,2005
201481414,BKT,0,NA,NA
201481420,BKT,0,NA,NA
201481428,BKT,34,2001,2001
201481440,BKT,0,NA,NA
201481445,BKT,9,2007,2007
201481450,BKT,1,2007,2007
201481451,BKT,0,NA,NA
201481459,BKT,93,2004,2004
201481522,BKT,0,NA,NA
201481539,BKT,93,2004,2007
201481544,BKT,0,NA,NA
201481551,BKT,0,NA,NA
201481560,BKT,0,NA,NA
201481577,BKT,0,NA,NA
201481582,BKT,0,NA,NA
201481586,BKT,0,NA,NA
201481617,BKT,0,NA,NA
201481618,BKT,9,2006,2006
201481657,BKT,8,2000,2000
201481659,BKT,0,NA,NA
201481680,BKT,0,NA,NA
201481711,BKT,1,2002,2002
201481716,BKT,154,2001,2001
201481717,BKT,0,NA,NA
201481730,BKT,0,NA,NA
201481746,BKT,2,2007,2007
201481775,BKT,24,2007,2007
201481782,BKT,43,2005,2005
201481812,BKT,0,NA,NA
201481813,BKT,1,2001,2001
201481835,BKT,0,NA,NA
201481838,BKT,33,2000,2000
201481859,BKT,1,2001,2001
201481866,BKT,0,NA,NA
201481888,BKT,0,NA,NA
201481897,BKT,4,2003,2003
201481947,BKT,5,2003,2003
201481982,BKT,0,NA,NA
201482003,BKT,0,NA,NA
201482038,BKT,0,NA,NA
201482039,BKT,0,NA,NA
201482057,BKT,32,2005,2005
201482058,BKT,0,NA,NA
201482064,BKT,0,NA,NA
201482100,BKT,0,NA,NA
201482101,BKT,0,NA,NA
201482115,BKT,0,NA,NA
201482122,BKT,44,2001,2001
201482150,BKT,11,2005,2005
201482195,BKT,0,NA,NA
201482239,BKT,0,NA,NA
201482249,BKT,0,NA,NA
201482290,BKT,0,NA,NA
201482296,BKT,31,2006,2006
201482333,BKT,44,2005,2005
201482371,BKT,0,NA,NA
201482385,BKT,0,NA,NA
201482395,BKT,0,NA,NA
201482398,BKT,0,NA,NA
201482403,BKT,0,NA,NA
201482481,BKT,0,NA,NA
201482508,BKT,0,NA,NA
201482546,BKT,0,NA,NA
201482547,BKT,5,2007,2007
201482573,BKT,0,NA,NA
201482612,BKT,8,2002,2002
201482685,BKT,4,2001,2001
201482698,BKT,8,2007,2007
201482741,BKT,0,NA,NA
201482759,BKT,0,NA,NA
201482824,BKT,0,NA,NA
201482887,BKT,0,NA,NA
201482910,BKT,0,NA,NA
201482923,BKT,1,2003,2003
201482946,BKT,6,2004,2004
201483060,BKT,19,2005,2007
201483124,BKT,0,NA,NA
201483162,BKT,8,2004,2004
201483185,BKT,0,NA,NA
201483199,BKT,4,2006,2006
201483204,BKT,0,NA,NA
201483207,BKT,0,NA,NA
201483220,BKT,0,NA,NA
201483259,BKT,0,NA,NA
201483282,BKT,0,NA,NA
201483301,BKT,0,NA,NA
201483305,BKT,0,NA,NA
201483309,BKT,0,NA,NA
201483320,BKT,0,NA,NA
201483392,BKT,0,NA,NA
201483395,BKT,0,NA,NA
201483397,BKT,3,2001,2001
201483400,BKT,21,2000,2000
201483425,BKT,78,2005,2007
201483433,BKT,0,NA,NA
201483442,BKT,0,NA,NA
201483446,BKT,3,2001,2001
201483475,BKT,39,2005,2005
201483510,BKT,32,2007,2007
201483518,BKT,1,1998,1998
201483526,BKT,0,NA,NA
201483536,BKT,0,NA,NA
201483542,BKT,56,2006,2006
201483555,BKT,0,NA,NA
201483596,BKT,0,NA,NA
201483610,BKT,92,2001,2001
201483619,BKT,35,2005,2005
201483631,BKT,4,2007,2007
201483636,BKT,0,NA,NA
201483643,BKT,0,NA,NA
201483673,BKT,0,NA,NA
201483731,BKT,10,2007,2007
201483752,BKT,0,NA,NA
201483758,BKT,19,2005,2005
201483783,BKT,38,2005,2005
201483789,BKT,0,NA,NA
201483807,BKT,0,NA,NA
201483810,BKT,0,NA,NA
201483816,BKT,0,NA,NA
201483840,BKT,0,NA,NA
201483843,BKT,0,NA,NA
201483885,BKT,3,2004,2004
201483894,BKT,9,2001,2001
201483946,BKT,0,NA,NA
201483955,BKT,0,NA,NA
201483966,BKT,0,NA,NA
201483970,BKT,0,NA,NA
201483971,BKT,15,2001,2001
201483984,BKT,9,2007,2007
201483999,BKT,0,NA,NA
201484045,BKT,0,NA,NA
201484049,BKT,43,2003,2003
201484073,BKT,1,2002,2002
201484161,BKT,0,NA,NA
201484242,BKT,12,2005,2005
201484246,BKT,0,NA,NA
201484249,BKT,6,2002,2002
201484363,BKT,0,NA,NA
201484384,BKT,0,NA,NA
201484388,BKT,0,NA,NA
201484389,BKT,6,2005,2005
201484403,BKT,0,NA,NA
201484424,BKT,0,NA,NA
201484467,BKT,0,NA,NA
201484478,BKT,0,NA,NA
201484523,BKT,0,NA,NA
201484530,BKT,0,NA,NA
201484541,BKT,0,NA,NA
201484547,BKT,0,NA,NA
201484549,BKT,0,NA,NA
201484555,BKT,0,NA,NA
201484557,BKT,149,2001,2007
201484576,BKT,0,NA,NA
201484581,BKT,15,2002,2002
201484620,BKT,0,NA,NA
201484633,BKT,0,NA,NA
201484650,BKT,0,NA,NA
201484792,BKT,0,NA,NA
201484823,BKT,0,NA,NA
201484834,BKT,0,NA,NA
201484838,BKT,53,2005,2005
201484956,BKT,0,NA,NA
201484964,BKT,0,NA,NA
201485014,BKT,0,NA,NA
201485020,BKT,54,2000,2000
201485037,BKT,0,NA,NA
201485082,BKT,0,NA,NA
201485086,BKT,0,NA,NA
201485103,BKT,0,NA,NA
201485159,BKT,0,NA,NA
201485204,BKT,1,2002,2002
201485225,BKT,0,NA,NA
201485245,BKT,0,NA,NA
201485336,BKT,27,2005,2005
201485385,BKT,7,2000,2000
201485412,BKT,218,2004,2007
201485434,BKT,0,NA,NA
201485590,BKT,47,2001,2001
201485591,BKT,4,2001,2001
201485637,BKT,0,NA,NA
201485668,BKT,3,2001,2001
201485693,BKT,0,NA,NA
201485760,BKT,0,NA,NA
201485784,BKT,14,2007,2007
201485825,BKT,1,2005,2005
201485978,BKT,0,NA,NA
201485995,BKT,0,NA,NA
201486016,BKT,85,2002,2002
201486048,BKT,14,2001,2001
201486074,BKT,0,NA,NA
201486098,BKT,51,2007,2007
201486123,BKT,105,2002,2002
201486245,BKT,13,2001,2001
201486254,BKT,1,2001,2001
201486307,BKT,0,NA,NA
201486334,BKT,0,NA,NA
201486410,BKT,0,NA,NA
201486487,BKT,0,NA,NA
201486528,BKT,25,2002,2002
