"no"	"site"	"region"	"site2"	"area"	"elevation"	"landuse"	"year"	"count1"	"count2"	"mean.density"
1	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	1992	NA	NA	NA
2	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	1993	NA	NA	NA
3	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	1994	NA	NA	NA
4	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	1995	6	4	2.69058295964126
5	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	1996	7	5	3.1390134529148
6	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	1997	3	3	1.34529147982063
7	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	1998	1	2	0.896860986547085
8	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	1999	3	2	1.34529147982063
9	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2000	4	6	2.69058295964126
10	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2001	5	5	2.24215246636771
11	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2002	8	4	3.58744394618834
12	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2003	12	10	5.38116591928251
13	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2004	14	11	6.2780269058296
14	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2005	8	11	4.93273542600897
15	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2006	6	3	2.69058295964126
16	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2007	0	5	2.24215246636771
17	"AG01"	"CH.Central"	"Reusstal"	2.23	384	"arable"	2008	2	2	0.896860986547085
18	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	1992	NA	NA	NA
19	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	1993	NA	NA	NA
20	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	1994	NA	NA	NA
21	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	1995	10	9	2.79329608938547
22	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	1996	7	9	2.51396648044693
23	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	1997	7	6	1.95530726256983
24	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	1998	5	7	1.95530726256983
25	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	1999	8	6	2.23463687150838
26	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2000	14	12	3.91061452513966
27	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2001	7	16	4.46927374301676
28	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2002	22	15	6.14525139664804
29	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2003	9	13	3.63128491620112
30	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2004	3	15	4.18994413407821
31	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2005	8	8	2.23463687150838
32	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2006	4	9	2.51396648044693
33	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2007	3	6	1.67597765363128
34	"AG02"	"CH.Central"	"Reusstal"	3.58	382	"arable"	2008	6	8	2.23463687150838
35	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	1992	NA	NA	NA
36	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	1993	NA	NA	NA
37	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	1994	NA	NA	NA
38	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	1995	21	28	5.8455114822547
39	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	1996	13	19	3.96659707724426
40	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	1997	7	14	2.92275574112735
41	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	1998	5	7	1.46137787056367
42	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	1999	14	8	2.92275574112735
43	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2000	12	13	2.71398747390397
44	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2001	9	10	2.08768267223382
45	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2002	11	12	2.50521920668058
46	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2003	22	20	4.59290187891440
47	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2004	22	17	4.59290187891440
48	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2005	8	14	2.92275574112735
49	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2006	11	6	2.29645093945720
50	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2007	3	14	2.92275574112735
51	"AG03"	"CH.Central"	"Reusstal"	4.79	384	"arable"	2008	15	20	4.17536534446764
52	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	1992	NA	NA	NA
53	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	1993	NA	NA	NA
54	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	1994	NA	NA	NA
55	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	1995	12	7	2.06896551724138
56	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	1996	5	4	0.862068965517241
57	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	1997	1	1	0.172413793103448
58	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	1998	1	2	0.344827586206897
59	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	1999	2	NA	0.344827586206897
60	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2000	NA	2	0.344827586206897
61	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2001	NA	NA	NA
62	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2002	NA	NA	NA
63	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2003	3	NA	0.517241379310345
64	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2004	7	10	1.72413793103448
65	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2005	3	6	1.03448275862069
66	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2006	9	3	1.55172413793103
67	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2007	5	2	0.862068965517241
68	"AG04"	"CH.Central"	"Reusstal"	5.8	388	"arable"	2008	13	8	2.24137931034483
69	"BE01"	"Aare"	NA	2.44	510	"arable"	1992	8	11	4.50819672131148
70	"BE01"	"Aare"	NA	2.44	510	"arable"	1993	13	15	6.14754098360656
71	"BE01"	"Aare"	NA	2.44	510	"arable"	1994	1	6	2.45901639344262
72	"BE01"	"Aare"	NA	2.44	510	"arable"	1995	4	3	1.63934426229508
73	"BE01"	"Aare"	NA	2.44	510	"arable"	1996	NA	NA	NA
74	"BE01"	"Aare"	NA	2.44	510	"arable"	1997	NA	NA	NA
75	"BE01"	"Aare"	NA	2.44	510	"arable"	1998	8	9	3.68852459016393
76	"BE01"	"Aare"	NA	2.44	510	"arable"	1999	NA	NA	NA
77	"BE01"	"Aare"	NA	2.44	510	"arable"	2000	4	1	1.63934426229508
78	"BE01"	"Aare"	NA	2.44	510	"arable"	2001	NA	NA	NA
79	"BE01"	"Aare"	NA	2.44	510	"arable"	2002	NA	NA	NA
80	"BE01"	"Aare"	NA	2.44	510	"arable"	2003	NA	NA	NA
81	"BE01"	"Aare"	NA	2.44	510	"arable"	2004	NA	NA	NA
82	"BE01"	"Aare"	NA	2.44	510	"arable"	2005	1	2	0.819672131147541
83	"BE01"	"Aare"	NA	2.44	510	"arable"	2006	NA	NA	NA
84	"BE01"	"Aare"	NA	2.44	510	"arable"	2007	NA	NA	NA
85	"BE01"	"Aare"	NA	2.44	510	"arable"	2008	NA	NA	NA
86	"BE02"	"Aare"	NA	4.94	514	"arable"	1992	23	24	4.8582995951417
87	"BE02"	"Aare"	NA	4.94	514	"arable"	1993	19	30	6.07287449392712
88	"BE02"	"Aare"	NA	4.94	514	"arable"	1994	3	14	2.83400809716599
89	"BE02"	"Aare"	NA	4.94	514	"arable"	1995	12	16	3.23886639676113
90	"BE02"	"Aare"	NA	4.94	514	"arable"	1996	NA	NA	NA
91	"BE02"	"Aare"	NA	4.94	514	"arable"	1997	NA	NA	NA
92	"BE02"	"Aare"	NA	4.94	514	"arable"	1998	7	6	1.41700404858300
93	"BE02"	"Aare"	NA	4.94	514	"arable"	1999	NA	NA	NA
94	"BE02"	"Aare"	NA	4.94	514	"arable"	2000	9	10	2.02429149797571
95	"BE02"	"Aare"	NA	4.94	514	"arable"	2001	NA	NA	NA
96	"BE02"	"Aare"	NA	4.94	514	"arable"	2002	NA	NA	NA
97	"BE02"	"Aare"	NA	4.94	514	"arable"	2003	NA	NA	NA
98	"BE02"	"Aare"	NA	4.94	514	"arable"	2004	NA	NA	NA
99	"BE02"	"Aare"	NA	4.94	514	"arable"	2005	2	NA	0.404858299595142
100	"BE02"	"Aare"	NA	4.94	514	"arable"	2006	NA	NA	NA
101	"BE02"	"Aare"	NA	4.94	514	"arable"	2007	NA	NA	NA
102	"BE02"	"Aare"	NA	4.94	514	"arable"	2008	NA	NA	NA
103	"BE03"	"Aare"	NA	1.12	557	"grass"	1992	1	1	0.892857142857143
104	"BE03"	"Aare"	NA	1.12	557	"grass"	1993	NA	NA	NA
105	"BE03"	"Aare"	NA	1.12	557	"grass"	1994	1	NA	0.892857142857143
106	"BE03"	"Aare"	NA	1.12	557	"grass"	1995	1	1	0.892857142857143
107	"BE03"	"Aare"	NA	1.12	557	"grass"	1996	NA	NA	NA
108	"BE03"	"Aare"	NA	1.12	557	"grass"	1997	NA	NA	NA
109	"BE03"	"Aare"	NA	1.12	557	"grass"	1998	1	1	0.892857142857143
110	"BE03"	"Aare"	NA	1.12	557	"grass"	1999	NA	NA	NA
111	"BE03"	"Aare"	NA	1.12	557	"grass"	2000	2	1	1.78571428571429
112	"BE03"	"Aare"	NA	1.12	557	"grass"	2001	NA	NA	NA
113	"BE03"	"Aare"	NA	1.12	557	"grass"	2002	NA	NA	NA
114	"BE03"	"Aare"	NA	1.12	557	"grass"	2003	NA	NA	NA
115	"BE03"	"Aare"	NA	1.12	557	"grass"	2004	NA	NA	NA
116	"BE03"	"Aare"	NA	1.12	557	"grass"	2005	NA	NA	NA
117	"BE03"	"Aare"	NA	1.12	557	"grass"	2006	NA	NA	NA
118	"BE03"	"Aare"	NA	1.12	557	"grass"	2007	NA	NA	NA
119	"BE03"	"Aare"	NA	1.12	557	"grass"	2008	NA	NA	NA
120	"BE04"	"Aare"	NA	2.77	532	"arable"	1992	5	7	2.52707581227437
121	"BE04"	"Aare"	NA	2.77	532	"arable"	1993	8	10	3.6101083032491
122	"BE04"	"Aare"	NA	2.77	532	"arable"	1994	1	6	2.16606498194946
123	"BE04"	"Aare"	NA	2.77	532	"arable"	1995	9	8	3.24909747292419
124	"BE04"	"Aare"	NA	2.77	532	"arable"	1996	NA	NA	NA
125	"BE04"	"Aare"	NA	2.77	532	"arable"	1997	NA	NA	NA
126	"BE04"	"Aare"	NA	2.77	532	"arable"	1998	6	8	2.88808664259928
127	"BE04"	"Aare"	NA	2.77	532	"arable"	1999	NA	NA	NA
128	"BE04"	"Aare"	NA	2.77	532	"arable"	2000	21	8	7.5812274368231
129	"BE04"	"Aare"	NA	2.77	532	"arable"	2001	NA	NA	NA
130	"BE04"	"Aare"	NA	2.77	532	"arable"	2002	NA	NA	NA
131	"BE04"	"Aare"	NA	2.77	532	"arable"	2003	NA	NA	NA
132	"BE04"	"Aare"	NA	2.77	532	"arable"	2004	NA	NA	NA
133	"BE04"	"Aare"	NA	2.77	532	"arable"	2005	1	2	0.72202166064982
134	"BE04"	"Aare"	NA	2.77	532	"arable"	2006	NA	NA	NA
135	"BE04"	"Aare"	NA	2.77	532	"arable"	2007	NA	NA	NA
136	"BE04"	"Aare"	NA	2.77	532	"arable"	2008	NA	NA	NA
137	"BE05"	"Aare"	NA	1.97	532	"grass"	1992	2	6	3.04568527918782
138	"BE05"	"Aare"	NA	1.97	532	"grass"	1993	5	4	2.53807106598985
139	"BE05"	"Aare"	NA	1.97	532	"grass"	1994	1	1	0.50761421319797
140	"BE05"	"Aare"	NA	1.97	532	"grass"	1995	7	3	3.55329949238579
141	"BE05"	"Aare"	NA	1.97	532	"grass"	1996	NA	NA	NA
142	"BE05"	"Aare"	NA	1.97	532	"grass"	1997	NA	NA	NA
143	"BE05"	"Aare"	NA	1.97	532	"grass"	1998	1	NA	0.50761421319797
144	"BE05"	"Aare"	NA	1.97	532	"grass"	1999	NA	NA	NA
145	"BE05"	"Aare"	NA	1.97	532	"grass"	2000	3	1	1.52284263959391
146	"BE05"	"Aare"	NA	1.97	532	"grass"	2001	NA	NA	NA
147	"BE05"	"Aare"	NA	1.97	532	"grass"	2002	NA	NA	NA
148	"BE05"	"Aare"	NA	1.97	532	"grass"	2003	NA	NA	NA
