Point,alfl1_05,alfl2_05,alfl3_05,alfl1_06,alfl2_06,alfl3_06,struct,woody,time1_05,time2_05,time3_05,date1_05,date2_05,date3_05,time1_06,time2_06,time3_06,date1_06,date2_06,date3_06
crick1,1,0,1,0,1,1,5.45,6,8.68,8.73,5.72,6,25,34,8.75,5.25,5.12,8,26,44
his1,2,3,0,0,0,0,4.75,1,9.43,7.4,7.58,20,32,54,6.38,8.12,6.87,13,37,48
hisw1,0,1,1,1,0,0,14.7,7,8.25,6.7,7.62,20,32,47,7.07,7.07,6.2,13,37,48
hisw2,1,0,1,1,0,1,5.05,6,7.77,6.23,7.17,20,32,47,5.75,7.53,5.75,13,37,48
kenc1,0,0,0,0,0,0,4.15,2,9.57,9.55,5.73,8,27,36,10,7.37,5.75,12,28,46
kenc2,3,1,1,0,0,0,9.75,8,9.1,9.12,9.12,8,27,36,9.55,6.87,6.87,12,28,46
kenc3,0,0,0,0,0,0,9.6,4,8.6,8.62,6.72,8,27,36,9.02,6.38,6.33,12,28,46
kence1,0,0,0,0,0,0,15.7,0,8.12,7.92,8.07,1,27,36,6.13,9.27,10.63,12,28,46
kence2,0,1,2,1,0,0,9.2,4,7.63,7.43,7.6,1,27,36,5.63,8.83,9.95,12,28,46
kense1,0,0,0,1,0,0,7.75,3,9.92,5.67,9.72,1,27,36,7.93,7.53,7.88,12,28,46
kense2,0,1,0,3,2,0,15.55,4,9.27,6.22,9.18,1,27,36,7.37,6.08,8.72,12,28,46
moran1,2,1,0,0,1,0,11.25,14,5.92,6.57,8.8,9,22,39,8.15,6.93,5.27,16,27,45
moran2,3,2,0,0,1,2,12.85,11,6.43,6.07,8.23,9,22,39,8.62,7.4,5.78,14,27,45
peruc1,1,2,0,1,0,0,10.75,10,8.9,6.97,8.83,10,13,44,8.15,7.32,8.05,7,32,45
peruc2,3,0,0,1,0,0,11,8,9.37,6.52,9.78,10,30,44,9.22,5.87,7.58,7,32,45
peruc3,0,0,0,0,0,1,9.2,4,9.78,6.05,9.33,10,30,44,8.77,6.37,7.13,7,32,45
peruce1,0,0,0,0,0,1,5.65,4,7.52,7.47,8.28,10,30,44,6.72,9.07,8.57,7,32,45
peruce2,1,1,0,2,0,0,9.45,3,7.97,7.85,7.9,10,30,44,7.12,8.62,9,7,32,45
peruce3,3,0,1,1,0,0,11.3,6,8.42,8.27,7.42,10,30,44,7.57,8.15,9.45,7,32,45
perunw1,0,0,0,1,0,0,9.35,1,8.73,8.77,6.88,9,22,39,8.58,8.15,9.47,7,32,45
perunw2,3,2,2,2,0,0,20.1,14,9.45,8.33,7.38,9,22,39,8.98,8.53,9.95,7,32,45
perus1,0,0,0,1,0,0,7.8,6,8.03,9.57,6.45,15,30,44,9.48,6.18,7.5,12,32,45
perus2,1,0,0,1,0,0,8.15,5,7.57,9.12,6.02,15,30,44,9.03,5.77,7.03,12,32,45
pfer1,1,0,0,1,2,1,7.95,8,5.67,7.65,7.98,8,18,33,5.5,7.33,7.85,8,19,44
pfer2,2,1,1,2,2,1,6.1,11,6.1,7.1,8.43,8,18,33,6,7.75,8.28,8,24,44
pfer3,2,1,1,2,0,0,9.9,16,6.55,6.58,8.93,8,18,33,6.48,8.2,8.72,8,24,44
pfer4,1,1,0,0,1,0,12.4,9,7.12,5.97,9.43,8,18,33,7.28,8.75,9.23,8,24,44
pol1,0,0,0,0,2,0,7.3,6,5.12,6.18,5.78,1,20,33,7.03,6.05,7.15,5,23,44
pol2,2,1,0,3,0,0,10.65,7,5.55,5.78,6.17,1,20,33,7.73,6.45,6.75,5,23,44
pol3,0,0,0,0,0,0,6.75,6,6.05,5.33,6.58,1,20,33,8.2,6.85,6.35,5,23,44
pol4,0,2,1,1,0,1,8.05,8,6.55,4.9,7.07,1,20,33,9.02,7.25,5.97,5,23,44
roar1,1,0,0,1,1,0,8.85,5,5.47,5.55,8.92,5,25,34,5.73,8,5.1,8,26,47
roar2,0,0,0,0,0,0,2.65,1,5.93,6.05,8.47,5,25,34,6.15,7.53,5.52,8,26,47
roar3,1,1,0,0,1,1,5.95,2,6.5,6.62,8.07,5,25,34,6.57,7.03,5.98,8,26,47
roar4,0,0,0,0,1,0,3.05,0,7.12,7.13,7.55,5,25,34,7.1,6.52,6.43,8,26,47
roar5,0,0,0,1,0,0,11.15,1,7.68,7.68,7.05,5,25,34,7.63,5.77,7.02,8,26,47
savtn1,0,0,0,0,0,0,5.05,5,7.02,8.08,8.2,11,29,38,6.33,9.77,5.52,6,27,47
savtn2,2,0,1,1,0,0,7.55,14,6.53,8.55,7.65,11,29,36,6.88,9.27,5.97,6,27,47
savtn3,2,1,1,1,0,0,5.7,9,6.03,9.03,7.12,11,29,38,7.43,10.2,6.43,6,27,47
savw1,1,0,0,1,0,0,6.75,12,8.53,6.6,9.72,11,29,38,8.93,9.25,7.23,6,27,47
savw2,1,0,0,0,0,0,7.8,2,8.1,7.08,9.23,11,29,38,8.45,9.72,7.68,6,27,47
whis2,0,0,0,0,0,0,11.85,1,8.13,6.05,6.15,19,31,40,8.87,9.57,6.62,13,42,48
whis3,0,0,0,3,0,0,4.9,10,7.42,6.65,6.83,19,31,40,8.17,9.05,7.2,13,42,48
whis4,1,1,0,0,0,0,11.05,7,6.68,7.23,7.38,19,31,40,8.68,8.53,7.63,13,42,48
winb2,1,0,0,2,1,1,8.35,4,6.07,7.63,9.42,10,22,39,7.45,6.98,8.32,7,32,45
winb3,1,1,0,3,0,0,9.6,11,6.57,7.23,9.9,10,22,39,7.93,7.43,8.87,7,32,45
winern1,0,1,2,0,0,0,4.7,7,9.42,5.55,5.67,23,32,47,5.07,5.33,8.82,13,37,48
winers1,2,1,1,0,0,0,9.95,9,8.33,9.25,6.62,23,32,47,7.28,6.3,7.9,13,37,38
winers2,1,0,0,0,0,0,11.6,11,8.83,8.62,6.15,23,32,47,6.97,5.77,8.37,13,37,48
