"ch"	"sex"	"weight"
"0011"	"Female"	2.96
"0010"	"Female"	3.09
"0010"	"Female"	3.14
"0010"	"Female"	3.23
"0011"	"Female"	3.47
"0011"	"Female"	3.5
"0011"	"Female"	3.6
"0011"	"Female"	3.61
"0011"	"Female"	3.65
"0011"	"Female"	3.68
"0011"	"Female"	3.7
"0011"	"Female"	3.72
"0011"	"Female"	3.79
"0011"	"Female"	3.84
"0011"	"Female"	3.89
"0011"	"Female"	3.96
"0010"	"Female"	3.98
"0011"	"Female"	4.01
"0011"	"Female"	4.06
"0010"	"Female"	4.06
"0010"	"Female"	4.09
"0011"	"Female"	4.11
"0010"	"Female"	4.13
"0011"	"Female"	4.2
"0011"	"Female"	4.2
"0011"	"Female"	4.21
"0010"	"Female"	4.25
"0011"	"Female"	4.31
"0010"	"Female"	4.31
"0011"	"Female"	4.32
"0010"	"Female"	4.33
"0011"	"Female"	4.34
"0011"	"Female"	4.36
"0010"	"Female"	4.46
"0010"	"Female"	4.46
"0010"	"Female"	4.47
"0011"	"Female"	4.5
"0011"	"Female"	4.58
"0011"	"Female"	4.59
"0011"	"Female"	4.65
"0011"	"Female"	4.68
"0010"	"Female"	4.69
"0010"	"Female"	4.7
"0011"	"Female"	4.77
"0011"	"Female"	4.79
"0011"	"Female"	4.79
"0010"	"Female"	4.8
"0011"	"Female"	4.83
"0011"	"Female"	4.86
"0011"	"Female"	4.88
"0011"	"Female"	4.9
"0011"	"Female"	4.9
"0010"	"Female"	4.93
"0011"	"Female"	4.93
"0011"	"Female"	4.95
"0010"	"Female"	4.95
"0010"	"Female"	4.96
"0010"	"Female"	4.97
"0011"	"Female"	5.01
"0010"	"Female"	5.1
"0010"	"Female"	5.11
"0011"	"Female"	5.18
"0011"	"Female"	5.2
"0010"	"Female"	5.22
"0011"	"Female"	5.22
"0011"	"Female"	5.27
"0011"	"Female"	5.31
"0011"	"Female"	5.34
"0010"	"Female"	5.39
"0010"	"Female"	5.4
"0011"	"Female"	5.42
"0010"	"Female"	5.46
"0010"	"Female"	5.46
"0011"	"Female"	5.48
"0011"	"Female"	5.49
"0011"	"Female"	5.52
