Number,Species,Plot_Trans_Survey,Time,Plot,Transect,Subplot,Plot_Trans,survey,Date,Observer,Weather,Vegetation,Leaf_Litter,Humidity,Temp,Precip,tpi_100,elev,Slope,Aspect,solar,twi_10,Lat,Long,bearing,Comments
1,PJOR,51-1-6/13/2012,1:58,51,1,0-5,51-1,1,06/13/2012,WEP,Clear,Dry,Dry,80.1,15.4,2.243503809,-1.45104980469,1168.39147949000,9.28175830841,239.19606018100,0,-8.40621280670,35.629229,-83.450617,trail,
1,PJOR,51-1-6/13/2012,1:58,51,1,5-10,51-1,1,06/13/2012,WEP,Clear,Dry,Dry,80.1,15.4,2.243503809,-1.45104980469,1168.39147949000,9.28175830841,239.19606018100,0,-8.40621280670,35.629229,-83.450617,trail,
4,PJOR,51-1-6/13/2012,1:58,51,1,10-15,51-1,1,06/13/2012,WEP,Clear,Dry,Dry,80.1,15.4,2.243503809,-1.45104980469,1168.39147949000,9.28175830841,239.19606018100,0,-8.40621280670,35.629229,-83.450617,trail,
1,PJOR,51-1-6/13/2012,1:58,51,1,15-20,51-1,1,06/13/2012,WEP,Clear,Dry,Dry,80.1,15.4,2.243503809,-1.45104980469,1168.39147949000,9.28175830841,239.19606018100,0,-8.40621280670,35.629229,-83.450617,trail,
0,NA,51-1-6/13/2012,1:58,51,1,20-25,51-1,1,06/13/2012,WEP,Clear,Dry,Dry,80.1,15.4,2.243503809,-1.45104980469,1168.39147949000,9.28175830841,239.19606018100,0,-8.40621280670,35.629229,-83.450617,trail,
1,PJOR,51-2-6/13/2012,1:58,51,2,20-25,51-2,1,06/13/2012,JAC,Clear,Dry,Dry,80.1,15.4,2.243503809,1.52526855469,1172.81628418000,13.51181125640,249.39050293000,0,-9.31503200531,35.629343,-83.450408,trail,
0,NA,51-2-6/13/2012,1:58,51,2,0-5,51-2,1,06/13/2012,JAC,Clear,Dry,Dry,80.1,15.4,2.243503809,1.52526855469,1172.81628418000,13.51181125640,249.39050293000,0,-9.31503200531,35.629343,-83.450408,trail,
2,PJOR,51-2-6/13/2012,1:58,51,2,15-20,51-2,1,06/13/2012,JAC,Clear,Dry,Dry,80.1,15.4,2.243503809,1.52526855469,1172.81628418000,13.51181125640,249.39050293000,0,-9.31503200531,35.629343,-83.450408,trail,
0,NA,51-2-6/13/2012,1:58,51,2,5-10,51-2,1,06/13/2012,JAC,Clear,Dry,Dry,80.1,15.4,2.243503809,1.52526855469,1172.81628418000,13.51181125640,249.39050293000,0,-9.31503200531,35.629343,-83.450408,trail,
0,NA,51-2-6/13/2012,1:58,51,2,10-15,51-2,1,06/13/2012,JAC,Clear,Dry,Dry,80.1,15.4,2.243503809,1.52526855469,1172.81628418000,13.51181125640,249.39050293000,0,-9.31503200531,35.629343,-83.450408,trail,
4,PJOR,51-3-6/13/2012,1:58,51,3,0-5,51-3,1,06/13/2012,DJH,Clear,Dry,Dry,80.1,15.4,2.243503809,-5.33874511719,1170.06433105000,9.93099021912,185.17463684100,0,-7.58936452866,35.629825,-83.450029,trail,
2,PJOR,51-3-6/13/2012,1:58,51,3,5-10,51-3,1,06/13/2012,DJH,Clear,Dry,Dry,80.1,15.4,2.243503809,-5.33874511719,1170.06433105000,9.93099021912,185.17463684100,0,-7.58936452866,35.629825,-83.450029,trail,
