line,page,dates,month,day,year,time,plot,mass,svl,tl,sex,gravid,group,clutch,color,recap,mark,id,damage
1861,60,4/21/09,4,21,2009,N,5,0.427,33,63,NA,N,NA,NA,R,NA,NA,1371,N
1115,36,9/9/08,9,9,2008,N,NA,0.633,37,68,NA,N,NA,NA,R,NA,NA,NA,N
360,12,5/31/08,5,31,2008,N,3,0.639,42,63,NA,N,NA,NA,R,NA,NA,187,Y
2897,92,5/7/11,5,7,2011,N,7,0.921,43,79,NA,N,NA,NA,R,N,NA,2154,N
1432,46,10/16/08,10,16,2008,N,9,0.943,45,74,NA,N,NA,NA,L,NA,NA,1042,Y
372,12,5/31/08,5,31,2008,N,3,NA,46,NA,NA,N,NA,NA,R,NA,NA,198,N
231,8,5/27/08,5,27,2008,N,9,1.073,47,75,NA,N,NA,NA,R,NA,NA,74,N
2739,87,10/24/09,10,24,2009,N,T,1.107,48,89,NA,N,NA,NA,R,NA,NA,2036,N
2236,72,5/14/09,5,14,2009,N,5,0.626,NA,87,NA,N,NA,NA,R,NA,NA,1564,Y
543,17,6/5/08,6,5,2008,N,7,1.058,NA,NA,NA,N,NA,NA,R,NA,NA,351,N
2816,90,5/4/11,5,4,2011,N,4,0.415,32,56,U,N,U,NA,R,N,NA,2073,N
2840,90,5/4/11,5,4,2011,N,5,0.417,32,62,U,N,U,NA,R,N,NA,2097,N
745,24,6/11/08,6,11,2008,D,5,0.441,33,58,U,N,U,NA,R,NA,NA,518,N
2777,89,5/4/11,5,4,2011,N,5,0.468,33,59,U,N,U,NA,R,N,NA,2034,N
99,4,5/21/08,5,21,2008,N,4,0.541,33,63,U,N,U,NA,R,NA,NA,NA,N
2084,67,5/7/09,5,7,2009,N,7,0.454,34,58,U,N,U,NA,R,NA,NA,1496,Y
2833,90,5/4/11,5,4,2011,N,3,0.482,34,60,U,N,U,NA,R,N,NA,2090,N
2770,88,5/4/11,5,4,2011,N,7,0.497,34,57,U,N,U,NA,R,N,NA,2027,Y
3003,95,5/18/11,5,18,2011,N,4,0.516,34,61,U,N,U,NA,R,N,NA,2260,Y
1054,33,9/9/08,9,9,2008,N,3,0.524,34,69,U,N,U,NA,R,NA,NA,NA,N
747,24,6/12/08,6,12,2008,N,9,0.674,34,65,U,N,U,NA,L,NA,NA,520,N
91,3,5/21/08,5,21,2008,N,9,0.564,35,64,U,N,U,NA,R,NA,NA,NA,N
59,2,5/17/08,5,17,2008,D,5,0.566,35,67,U,N,U,NA,R,NA,NA,NA,N
100,4,5/21/08,5,21,2008,N,4,0.569,35,66,U,N,U,NA,R,NA,NA,NA,N
1071,34,9/9/08,9,9,2008,N,7,0.707,35,71,U,N,U,NA,R,NA,NA,NA,N
2815,90,5/4/11,5,4,2011,N,4,0.945,35,85,U,N,U,NA,R,N,NA,2072,Y
777,25,6/16/08,6,16,2008,N,7,0.206,29,49,U,N,U,NA,R,NA,NA,568,N
2007,65,5/5/09,5,5,2009,N,4,0.215,29,30,U,N,U,NA,R,NA,NA,1453,N
2118,68,5/7/09,5,7,2009,N,3,0.226,29,37,U,N,U,NA,R,NA,NA,NA,Y
1752,57,4/21/09,4,21,2009,N,3,0.27,29,33,U,N,U,NA,R,NA,NA,1280,Y
1014,32,8/16/08,8,16,2008,N,3,0.277,29,32,U,N,U,NA,R,NA,NA,NA,Y
1840,60,4/21/09,4,21,2009,N,5,0.292,29,46,U,N,U,NA,R,NA,NA,1384,N
2144,69,5/9/09,5,9,2009,N,7,0.294,29,38,U,N,U,NA,R,NA,NA,NA,Y
2708,87,8/29/09,8,29,2009,N,3,0.295,29,53,U,N,U,NA,R,NA,NA,2005,N
2693,87,8/22/09,8,22,2009,N,5,0.3,29,51,U,N,U,NA,R,NA,NA,1990,N
1123,36,9/9/08,9,9,2008,N,4,0.3,29,52,U,N,U,NA,R,NA,NA,NA,N
1799,59,4/21/09,4,21,2009,N,9,0.301,29,48,U,N,U,NA,R,NA,NA,1327,N
2799,89,5/4/11,5,4,2011,N,9,0.306,29,48,U,N,U,NA,R,N,NA,2056,N
84,3,5/18/08,5,18,2008,N,3,0.314,29,50,U,N,U,NA,R,NA,NA,NA,N
1893,61,4/22/09,4,22,2009,N,9,0.316,29,48,U,N,U,NA,R,NA,NA,NA,Y
2722,87,8/29/09,8,29,2009,N,5,0.32,29,48,U,N,U,NA,R,NA,NA,2019,Y
69,3,5/17/08,5,17,2008,D,7,0.32,29,51,U,N,U,NA,R,NA,NA,NA,N
1266,41,9/27/08,9,27,2008,N,5,0.32,29,50,U,N,U,NA,R,NA,NA,NA,N
1357,44,10/9/08,10,9,2008,N,4,0.322,29,42,U,N,U,NA,R,NA,NA,NA,Y
132,5,5/21/08,5,21,2008,N,5,0.322,29,51,U,N,U,NA,R,NA,NA,4,N
1471,47,11/1/08,11,1,2008,D,4,0.323,29,47,U,N,U,NA,R,NA,NA,1121,N
609,19,6/5/08,6,5,2008,N,9,0.325,29,44,U,N,U,NA,R,NA,NA,405,Y
1611,53,11/8/08,11,8,2008,N,5,0.326,29,44,U,N,U,NA,R,NA,NA,NA,Y
331,11,5/31/08,5,31,2008,N,4,0.326,29,55,U,N,U,NA,R,NA,NA,167,N
3326,105,6/9/11,6,9,2011,N,5,0.328,29,49,U,N,U,NA,R,N,NA,2542,N
2353,75,5/29/09,5,29,2009,N,7,0.33,29,44,U,N,U,NA,R,NA,NA,1794,Y
639,20,6/6/08,6,6,2008,D,5,0.331,29,40,U,N,U,NA,R,NA,NA,434,Y
1773,58,4/21/09,4,21,2009,N,4,0.332,29,51,U,N,U,NA,R,NA,NA,1301,N
1044,33,9/9/08,9,9,2008,N,5,0.332,29,51,U,N,U,NA,R,NA,NA,NA,N
1700,56,4/6/09,4,6,2009,N,3,0.333,29,55,U,N,U,NA,R,NA,NA,1228,N
2790,89,5/4/11,5,4,2011,N,9,0.336,29,49,U,N,U,NA,R,N,NA,2047,Y
2044,66,5/7/09,5,7,2009,N,4,0.336,29,53,U,N,U,NA,R,NA,NA,1518,N
522,17,6/5/08,6,5,2008,N,4,0.339,29,52,U,N,U,NA,R,NA,NA,330,N
1986,64,5/5/09,5,5,2009,N,5,0.342,29,55,U,N,U,NA,R,NA,NA,1432,N
2894,92,5/7/11,5,7,2011,N,5,0.342,29,50,U,N,U,NA,R,N,NA,2151,N
2438,76,5/27/09,5,27,2009,N,5,0.345,29,42,U,N,U,NA,R,NA,NA,1659,Y
1552,51,11/8/08,11,8,2008,N,5,0.346,29,45,U,N,U,NA,R,NA,NA,NA,Y
2817,90,5/4/11,5,4,2011,N,4,0.346,29,55,U,N,U,NA,R,N,NA,2074,N
1849,60,4/21/09,4,21,2009,N,5,0.354,29,45,U,N,U,NA,R,NA,NA,1393,N
1797,58,4/21/09,4,21,2009,N,9,0.363,29,51,U,N,U,NA,R,NA,NA,1325,N
1133,36,9/9/08,9,9,2008,N,4,0.364,29,52,U,N,U,NA,R,NA,NA,NA,N
2560,83,6/12/09,6,12,2009,N,5,0.377,29,54,U,N,U,NA,R,NA,NA,NA,N
1370,44,10/9/08,10,9,2008,N,7,0.384,29,56,U,N,U,NA,R,NA,NA,NA,N
658,21,6/6/08,6,6,2008,N,5,0.385,29,45,U,N,U,NA,R,NA,NA,451,N
250,8,5/31/08,5,31,2008,N,5,0.393,29,53,U,N,U,NA,R,NA,NA,92,N
574,18,6/5/08,6,5,2008,N,5,0.393,29,52,U,N,U,NA,R,NA,NA,371,N
1171,37,9/12/08,9,12,2008,N,5,0.394,29,58,U,N,U,NA,R,NA,NA,NA,N
2027,66,5/7/09,5,7,2009,N,4,0.401,29,46,U,N,U,NA,R,NA,NA,1501,Y
2021,65,5/7/09,5,7,2009,N,1,0.401,29,50,U,N,U,NA,R,NA,NA,1467,Y
435,14,6/4/08,6,4,2008,N,4,0.401,29,47,U,N,U,NA,R,NA,NA,236,N
496,16,6/4/08,6,4,2008,N,9,0.407,29,55,U,N,U,NA,R,NA,NA,294,Y
419,14,6/1/08,6,1,2008,D,3,0.409,29,50,U,N,U,NA,R,NA,NA,222,N
387,13,5/31/08,5,31,2008,N,4,0.41,29,55,U,N,U,NA,R,NA,NA,NA,Y
863,27,6/20/08,6,20,2008,N,5,0.422,29,56,U,N,U,NA,R,NA,NA,653,N
274,9,5/31/08,5,31,2008,N,9,0.426,29,52,U,N,U,NA,R,NA,NA,114,N
278,9,5/31/08,5,31,2008,N,9,0.447,29,58,U,N,U,NA,R,NA,NA,118,N
269,9,5/31/08,5,31,2008,N,9,0.482,29,54,U,N,U,NA,R,NA,NA,109,N
337,11,5/31/08,5,31,2008,N,4,0.548,29,60,U,N,U,NA,R,NA,NA,NA,N
515,17,6/4/08,6,4,2008,N,3,0.694,29,62,U,N,U,NA,R,NA,NA,323,N
2149,69,5/9/09,5,9,2009,N,5,0.267,30,47,U,N,U,NA,R,NA,NA,NA,N
1118,36,9/9/08,9,9,2008,N,4,0.273,30,50,U,N,U,NA,R,NA,NA,NA,N
1876,61,4/22/09,4,22,2009,N,5,0.296,30,44,U,N,U,NA,R,NA,NA,1410,Y
1731,56,4/21/09,4,21,2009,N,4,0.299,30,40,U,N,U,NA,R,NA,NA,1259,N
2827,90,5/4/11,5,4,2011,N,3,0.301,30,36,U,N,U,NA,R,N,NA,2084,Y
1993,64,5/5/09,5,5,2009,N,5,0.303,30,49,U,N,U,NA,R,NA,NA,1439,N
1988,64,5/5/09,5,5,2009,N,5,0.306,30,36,U,N,U,NA,R,NA,NA,1434,Y
2055,66,5/5/09,5,5,2009,N,7,0.307,30,40,U,N,U,NA,R,NA,NA,NA,Y
2032,66,5/7/09,5,7,2009,N,4,0.314,30,48,U,N,U,NA,R,NA,NA,1506,Y
1922,62,4/22/09,4,22,2009,N,9,0.314,30,45,U,N,U,NA,R,NA,NA,NA,Y
1952,63,4/22/09,4,22,2009,N,4,0.314,30,55,U,N,U,NA,R,NA,NA,NA,N
2893,92,5/7/11,5,7,2011,N,5,0.326,30,43,U,N,U,NA,R,N,NA,2150,Y
